title,city,region,category,subcategory,description
Franklin i przyjaciele ZAPRASZAM,Mazowieckie,Warszawa,Dla Dzieci,Pozostałe dla dzieci,"Sprzedam płytę z bajkami o przygodach Franklina i jego przyjaciół. Stan płyty bardzo dobry, nie porysowana, nie zacina się."
obraz Richard Spare Morning Tulips,Mazowieckie,Warszawa,Dom i Ogród,Dekoracje,Witam
Moneta 2 marki / 1957r. 2 szt.,Wielkopolskie,Słupca,Sport i Hobby,Kolekcje,Na sprzedaż monety widoczne na zdjęciach- 2 szt.
kozaki jesienno zimowe T. Taccardi 39,Śląskie,Katowice,Moda,Buty,"Buty w bdb. stanie, rozmiar 39, sprzedam lub zamienię na coś zupełnie innego."
Obraz,Mazowieckie,Mława,Dom i Ogród,Dekoracje,Sprzedam obraz olejny w złotej ramie o wymiarze 70/60cm.Polecam
lanca do Karchera,Dolnośląskie,Kłodzko,Dom i Ogród,Ogród,Posiadam dwie lance do myjki karcher. Cena za sztukę 40 zł.
zamienię,Podlaskie,Augustów,Moda,Ubrania,"czarny lużny sweterek,roz.42-44-46"
",,Przebudzenie\",Łódzkie,Łódź,Muzyka i Edukacja,Filmy,",,Clay ma piękną narzeczoną i szczęśliwe życie, ale okazuje się, że cierpi na chorobę serca. Musi poddać się operacji, której przebieg będzie bardzo nietypowy.''"
Mega Okazja - Kurtka jesienna B.C.M,Śląskie,Gliwice,Moda,Ubrania,Witam mam do sprzedania męską kurtkę zimowa firmy
Plakaty Glee,Pomorskie,Gdynia,Sport i Hobby,Kolekcje,Zamienie na plakaty Seleny Gomez Justina Biebera Demi Lovato Miley Cyrus Zmierzch i Harry Potter lub sprzedam każdy plakat 1zl
Żakiet żółty 42,Łódzkie,Wieluń,Moda,Ubrania,"Sprzedam lub zamienię  piękny , modny żakiecik w kolorze żółtym.W biuście 104/106 , długość całkowita 66 cm, rękawy do wywinięcia. W tej chwili mają 54cm"
"Spodenki Bershka, M/L",Łódzkie,Łódź,Moda,Ubrania,"Zamienię spodenki firmy Bershka w rozmiarze M na coś, co wpadnie mi w oko (niekoniecznie ubrania)."
Buty rozmiar 37,Śląskie,Częstochowa,Moda,Buty,"Buty stan idealny założone tylko raz, ponieważ mój stan kręgosłupa nie pozwala na chodzenie w takich bucikach. Rozmiar 37."
"Testowanie produktów/usług - nawet 15zł/h podstawy, elastyczny grafik!",Pomorskie,Gdańsk,Praca,Hostessa,Dynamicznie rozwijająca się firma badawczo-doradcza z prawie 4-letnim doświadczeniem na rynku poszukuje osób zainteresowanych pracą przy projekcie badawczym realizowanym na terenie Trójmiasta.
filmy dvd,Zachodniopomorskie,Szczecin,Muzyka i Edukacja,Filmy,Posiadam  filmy na DVD zamienię każdy za czekoladę MILKA
cukiernica mosiężna antyk,Łódzkie,Łódź,Sport i Hobby,Kolekcje,witam mam na zamianę lub sprzedaż piękną dużą cukiernicę jest to bardzo stary przedmiot lecz w idealnym stanie czekam na propozycję
Sweter Disney CARS i ciepły golfik WENICE rozm.128,Wielkopolskie,Ostrów Wielkopolski,Dla Dzieci,Ubranka dla dzieci,"Witam,mam do sprzedania sweter znanej marki Disney Cars oraz golfik Wenice w rozmiarze 128."
Kanapa narożnik &amp;quot;Tango&amp;quot; Livingroom,Mazowieckie,Pruszków,Dom i Ogród,Sofy i kanapy,Do sprzedania NAROŻNIK Tango Livingroom by Mebelplast  mebel tapicerowany z funkcją do okazjonalnego spania oraz pojemnikiem na pościel. Podłokietnik regulowany. Wymiar 250 x 160. Obicie wykonane  z tkaniny nadającej się do prania odkurzaczem piorącym. Odbiór osobisty.
Garnitur męski,Lubelskie,Chełm,Moda,Ubrania,"Witam serdecznie,"
Spódnica,Warmińsko-mazurskie,Elbląg,Moda,Ubrania,"Wymienię za owoce (poza jabłkami) i/lub warzywa (pomidory, papryka)/jajka &quot;0&quot;/ 1l prawdziwego miodu"
kula dla dziecka gra i wydaje dzwieki krecac sie przy tym,Małopolskie,Kraków,Dla Dzieci,Zabawki,uzywany co moge wiecej napisac? zaproponuj cene lub cos na co chcesz sie zamienic dbior osobisty azory
Panel radia Kenwood KRC-152L,Mazowieckie,Warszawa,Motoryzacja,Sprzęt car audio,"Witam, mam na sprzedaż panel do radia Kenwood KRC-152L. Stan panelu jest mi nieznany. Pozdrawiam"
Piekarnik UNOLD 68817,Wielkopolskie,Ostrów Wielkopolski,Dom i Ogród,Sprzęt AGD,Sprzedam piekarnik unold stan bardzo dobry używany kilka razy.
Rekawica kevlar do pracy ze zwierzetami lewa za tablet ok 10 cali,Wielkopolskie,Poznań,Usługi i Firmy,Wyposażenie firm,Posiadam na zamiane lub sprzedaz rekawice nowa do pracy z niebezpiecznymi zwierzetami. Rekawica jest w doskonalym stanie. Jezeli jestes zainteresowany to zaproponuj cos na wymiane lub cene. Moge wymienic na tablet . Pozdrawiam
Rożek,Dolnośląskie,Bielawa,Dla Dzieci,Pozostałe dla dzieci,Witam sprzedam rożek dla maluszka za 20 zł lub zamienie na mleko Bebiko 3/ 3r. Użyty dosłownie kilka razy.
beżowe leginnsy M,Zachodniopomorskie,Wałcz,Moda,Ubrania,leginsy rozmiar m stan dobry krótko noszone
Torebka Ćwieki,Lubuskie,Żary,Moda,Dodatki,"Sprzedam torebkę z regulowanym paskiem, zero śladów użytkowania, stan bardzo dobry."
lampy / możliwa zamiana na inne,Śląskie,Czechowice-Dziedzice,Dom i Ogród,Oświetlenie,"Witam, sprzedam lub zamienię na inne lampy najlepiej jakieś w prostym stylu. Pozdrawiam"
Kolekcja &amp;quot;Robię na drutach&amp;quot;,Śląskie,Jastrzębie-Zdrój,Sport i Hobby,Kolekcje,Posiadam kolekcję  hachette13 numerów &quot; Robię na drutach&quot;  w orginalnym segregatorze. Oddam za 3 paczki chusteczek nawilżających Dada. Polecam !!!
kolczyki złote koła TOP SECRET za chusteczki nawilżane,Kujawsko-pomorskie,Toruń,Moda,Biżuteria,Zamienię lub sprzedam za 8 zł nowe kolczyki widoczne na zdjęciach.
Akordeon Super Stan,Małopolskie,Gorlice,Muzyka i Edukacja,Instrumenty,Akordeon bardzo ładny stan sprzedam lub zamienie udzielę informacji tylko telefonicznie.
buty NIKE 99 zł ( rozmiar 39),Wielkopolskie,Konin,Moda,Buty,"Zamienię buty Nike na inne damskie adidasy rozmiar 37/37,5 lub jakieś inne propozycje  . Buty są jak nowe używałam ich kilka razy do jazdy rowerem gdyż są na mnie za duże. Jest też możliwość kupna za 99zł. Buty na szczupłą stopę Długość 26 cm."
dla noworodka rampers spodenki niedrapki zestaw,Łódzkie,Skierniewice,Dla Dzieci,Ubranka dla dzieci,Sprzedam ubranka dla dziewczynki w rozmiarze 56-62
"Stare złote. ( tylko monety, okres lat mniej więcej 49-80)",Wielkopolskie,Środa Wielkopolska,Sport i Hobby,Kolekcje,"Stare złote. ( tylko monety, okres lat mniej więcej 49-80) zamienię bądź sprzedam. Czekam na fajne propozycje i zapraszam na inne moje ogłoszenia."
Stara pocztówka Zaleszczyki obiegowa 1938 rarytas dla kolekcjonera,Dolnośląskie,Wrocław,Sport i Hobby,Kolekcje,"Witam,"
kierownica powietrza / wlot powietrza do chłodnicy focus mk1,Zachodniopomorskie,Szczecin,Motoryzacja,Osobowe,Sprzedam oryginalną kierownicę powietrza do Forda Focusa mk1.
Znaczki pocztowe,Łódzkie,Sieradz,Sport i Hobby,Kolekcje,Witam zamienie lub sprzedam znaczki pocztowe stare zestaw lub na szt. Zamienie na stare monety  polskie i zagraniczne czekam.na propozycje cenowe lub wymiane pozdrawiam.
"Spodnie damskie rozm S, XS, 36, 27 Poznań Pleszew czarne, granatowe",Wielkopolskie,Poznań,Moda,Ubrania,"Mam na sprzedaż 4 pary spodni. Są używane, lecz w bardzo dobrym stanie. Jestem szczupła osobą wzrostu 170. Wszystkie te spodnie na mnie pasowały."
Przewijak,Dolnośląskie,Świdnica,Dla Dzieci,Pozostałe dla dzieci,"Witam zamienię przewijak na łóżeczko o wymiarach 80x50. Zamienię za czekoladę, lub chusteczki nawilżające."
NOWE kowbojki Venezia - rozmiar 38,Wielkopolskie,Poznań,Moda,Buty,"Nowe kozaczki firmy Venezia ze skóry naturalnej w rozmiarze 38. Kupiłam sobie, jednak w butach w tym stylu się nie czuję."
Ubranko do chrztu 74,Mazowieckie,Otwock,Dla Dzieci,Ubranka dla dzieci,Sprzedam komplet do chrztu lub na inną imprezę.
Sukienka New Look r.14,Lubelskie,Lublin,Moda,Ubrania,"Zamienie letnią sukienkę w paseczki, rozmiar z metki 14."
Meblościanka stan bardzo dobry,Małopolskie,Kraków,Dom i Ogród,Komplety mebli,"Meblościanka jak na zdjęciach. Stan bardzo dobry, używana przez krótki czas przez starszą osobę,"
buty na koturnie,Pomorskie,Gdańsk,Moda,Buty,buty na koturnie . Tylko przymierzone . Stan idealny
Nowy czarny body r.M za mieszanka studencka,Małopolskie,Kraków,Moda,Ubrania,elastyczny body dla kobiety z wzrostem poniżej 170sm. Mam 175sm i zbyt krótki to nigdy nie używany
Bęzrękawnik Męski,Kujawsko-pomorskie,Lipno,Moda,Ubrania,"Witam, mam na sprzedanie bezrękawnik męski, młodzieżowy, rozmiar M. Bęzrękawnik, jest ocieplany, posiada dwie kieszenie, zapinany na zatrzaski, bardzo wygodny. Od góry przechodzi pasek materiału skóropodobnego. Od dołu natomiast, materiał imitujący jeans. Całość wygląda na prawdę ciekawie. Chętne osoby zapraszam do kontaktu."
Bluzki M Warto!!,Warmińsko-mazurskie,Elbląg,Moda,Ubrania,Zamienie bluzki jak nowe.rozmiar M lub sprzedam.
Płaszczyk S,Zachodniopomorskie,Kołobrzeg,Moda,Ubrania,"Witam, chętnie sprzedam lub zamienię elegancki płaszczyk w rudawym kolorze, płaszczyk zapinany na zamek , posiada kieszenie , na rękawach również ozdobne zameczki,  prosty ładny krój . Zamienię na podobny tylko , że czerwony lub sprzedam za 40zl. Zapraszam."
"Spodnie, dżinsy, bluzka, tomek,dres, koszula h&amp;amp;m, garnitur roz.98",Dolnośląskie,Złotoryja,Dla Dzieci,Ubranka dla dzieci,"Witam, sprzedam ciuszki po synku rozm 98."
wzmacniacz Pionieer,Łódzkie,Zgierz,Elektronika,MP3 i sprzęt audio,Witam posiadam wzmacniacz Pionieer VSX 528k od 2 lat. Poszukuje czegos na zamiane -najlepiej Denon badz Yamaha.Zapraszam
lipsy sukienka baskinka wesele,Lubelskie,Biała Podlaska,Moda,Ubrania,"Sliczna sukienka lipsy london jest bardzo efektowna, ma baskinke i piękny dekolt który lekko  eksponuje biust."
Automatyczna sekretarka KASETOWA,Wielkopolskie,Poznań,Elektronika,Pozostała elektronika,"Telefon analogowy z kasetowym aparatem zgłoszeniowym, zwanym też automatyczną sekretarką."
waga zabytek,Śląskie,Żywiec,Sport i Hobby,Kolekcje,zamienie lub sprzedam interesuje mnie cos z elektroniki agd male lub narzedzia sprzet wedkarski
Korzeń do akwarium.,Wielkopolskie,Ostrów Wielkopolski,Zwierzęta,Akcesoria akwariowe,Mam do sprzedania korzeń do akwarium wykonany z tworzywa.
Kierowca kat.B,Małopolskie,Andrychów,Praca,Kierowca \/ kurier,"Poszukujemy pracowników na stanowisko kierowca,"
Sukienka paseczki!,Łódzkie,Koluszki,Moda,Ubrania,"Witam. Mam na zamianę sukienkę w paseczki w rozmiarze M/L. Ładnie leży posiada ściąganą gumę z tyłu pleców, więc automatycznie dopasowuje się do rozmiaru biustu. Gorąco polecam."
Katalog części STEYR 8055: 8055A,Lubelskie,Lublin,Muzyka i Edukacja,Poradniki i albumy,"Witam posiadam katalog części do ciągnika Steyr 8055 i 8055A, po więcej informacji proszę pisać lub dzwonić"
Fifa 16 - Xbox One - Zamiana,Dolnośląskie,Wrocław,Elektronika,Gry i Konsole,"Wymienię grę Fifa 16 w wersji na Xbox One na inną, fajną grę na tę samą konsolę."
"części motocyklowe do vn ,xvs,vzr...do modeli od r95 do góry",Opolskie,Namysłów,Motoryzacja,Części motocyklowe,"witam sprzedam lub zamienię części do motorów kawasaki vn800/900/1500..,yamaha xvs 650/1100 xv 1600/1700..vzr 1800./ramy,błotniki,koła,instalacje elektryczne,oświetlenie itp/..na młyn do mielenia plastiku lub inną ciekawą rzecz...wykaz części dla zainteresowanego telefonicznie lub na e-mail...."
Bluzka z krawatem,Mazowieckie,Warszawa,Moda,Ubrania,"Bluzka na długi rękaw, w łódkę, wukończona łańcuszkiem który układa się na szyi. Pasuje na S,M."
Pieluchy firmy Attends,Dolnośląskie,Złotoryja,Dom i Ogród,Zdrowie,"Pieluchy dla doroslych firmy Attends rozmiar 100-150 cm ,chlonnosc 8  18 paczek a 28szt dodam do tego jeszcze podklady do lozka i podklady jednorazowe do majtek i majtki"
"Ford Mondeo mk3 TDCI 2,0 2003rok części",Wielkopolskie,Gniezno,Motoryzacja,Samochody na części,witam. mam do sprzedania Ford mondeo mk3TDCI 2.0 rok 2003 części. Zainteresowanych proszę o kontakt telefoniczny badz wiadomosc. P.rosze dzwonic po 16stej
Bluzka na ramiączkach hm czarna biała luźna,Śląskie,Skoczów,Moda,Ubrania,koszulka hm we wzór
Brazowa farba do wlosow nowa 3 sztuki,Dolnośląskie,Dzierżoniów,Moda,Kosmetyki i perfumy,Zamienie na ciemny brąz lub czarny lub coś innego co mi wpadnie w oko
Bryczka,Wielkopolskie,Krotoszyn,Sport i Hobby,Pozostały sport i hobby,Sprzedam lub zamienie. Wiecej informacji na telefon
Bluza z kapturem polar Next 86,Małopolskie,Olkusz,Dla Dzieci,Ubranka dla dzieci,"Odstapie uzywana praktyczna bluze z nexta, rozmiarowka typowa, bluza nosi normalne slady uzytkowania, bez trwalych plam czy popruc, zamienie na duza czekolade milka, polecam"
Kurtka jesienno- wiosenna,Podlaskie,Suwałki,Moda,Ubrania,"Zamienie kurtkę jesienno - wiesenno w kolorze stonowanej czerwieni. Kurtka w stanie idealnym,  bez żadnych śladów użytkowania. Na metce rozmiar L ale jest to zdecydowane M. Istnieje możliwość sprzedaży za 40 zł."
"NEON INESSA stado 30 szt Warszawa, Neonek Inesa",Mazowieckie,Warszawa,Zwierzęta,Zwierzęta akwariowe,Mamy w stałej ofercie Neony Inessa
Kombinezon dla dziecka,Dolnośląskie,Brzeg Dolny,Dla Dzieci,Ubranka dla dzieci,Ładny kombinezon ciepły w sam raz dla twojego brajanka
H&amp;amp;M! Piękna czarna kazmizelka. Styl boho. a\,Podkarpackie,Jasło,Moda,Ubrania,Piękna kamizelka H&amp;M.
"Balerinki 37, skóra, Cushion-walk, stan idealny",Łódzkie,Łódź,Moda,Buty,"Piękna, czarne balerinki ze skóry na  gumowej, miękkiej  podeszwie,  wkładka wew: 23 cm, ze skóry, rzep dobrze trzyma dobra, angielska firma."
Saga Córy Życia Pilnie!,Małopolskie,Kraków,Muzyka i Edukacja,Literatura,Witam mam do sprzedania/zamiany Sage od nr1 do 24
sprzedam obornik lub zamienię na siano,Kujawsko-pomorskie,Brodnica,Rolnictwo,Produkty rolne,Zamienię obornik mieszany bydlęco-koński zwierzęta są żywione tylko zielonką i sianem
lego figurki rozne,Małopolskie,Myślenice,Dla Dzieci,Zabawki,"rozne ludziki ,figurki lego pytaj tylko orginalne"
Buty trekkingowe r.34,Wielkopolskie,Piła,Dla Dzieci,Buciki,"Witam, zamienie lub tanio sprzedam buty firmy Quechua, rozmiar 34, dł. wkł wew buta to 22cm, stan butów jak na zdjęciu."
Książka instrukcja DTR Naprawa Samochodów Syrena Z. Glinka ideał,Małopolskie,Kraków,Muzyka i Edukacja,Poradniki i albumy,Instrukcja napraw i eksploatacji do samochodu Syrena z 1982 roku. Poza zagięciem okładki w prawym dolnym rogu książka w stanie idealnym.
Bluzka bordo,Wielkopolskie,Poznań,Moda,Ubrania,Bordowa bluzka Atmosphere w rozmiarze s.
Kregle,Małopolskie,Kraków,Dla Dzieci,Zabawki,Zamienie na 2 jajka niespodzianki.
"Sukienka H&amp;amp;M, M",Łódzkie,Łódź,Moda,Ubrania,"Zamienię sukienkę firmy H&amp;M w rozmiarze S/M na coś, co wpadnie mi w oko (niekoniecznie ubrania)."
Zamienie,Podkarpackie,Jarosław,Elektronika,LG,Zamienię LG Magna na iPhone 5
Wymiana ps3,Wielkopolskie,Ostrów Wielkopolski,Elektronika,Gry i Konsole,Zamienię się na inna grę z ps 3 .
Koszula,Wielkopolskie,Luboń,Moda,Ubrania,Zamienię lub sprzedam.
Plakaty Sam Smith,Pomorskie,Gdynia,Sport i Hobby,Kolekcje,Zamienie na plakaty Seleny Gomez Justina Biebera Demi Lovato Miley Cyrus Zmierzch i Harry Potter lub sprzedam każdy plakat 1zl
Battlefield bad companyb2 ps3 zamiana na mortal kombat lub teken,Śląskie,Bielsko-Biała,Elektronika,Gry i Konsole,Witam jak w temacie gra nie ma rys stan idealny kupiona byla nowa zamienie na jakas inna gre
Sprzedam,Mazowieckie,Sierpc,Motoryzacja,Opony,Sprzedam opony w dobrym stanie 2 szt.175/55 r15  77T. .2 szt. 155/60 r15.  74T Ewentualnie zamienie na wieze sprzet mp3
Bluza coolclub r. 122,Lubelskie,Lublin,Dla Dzieci,Ubranka dla dzieci,"Witam,"
"Timberland Buty 6 Inch Premium (10061) - nówki, rozmiar 42 - 8 1/2",Podkarpackie,Lubaczów,Moda,Buty,"Tych butów chyba nikomu nie trzeba przestawiać, oryginalne Timberland 6 Inch Premium. Otrzymałem je jako prezent od Cioci z UK, niestety okazały się za duże więc sprzedaje. Długość wkładki 27,7 cm"
płyn do robienia baniek 5l,Śląskie,Lubliniec,Dla Dzieci,Zabawki,"Mam do zaoferowania płyn do robienia baniek 5l,możliwa wysyłka i zamiana za stare Monety [nawet z czasów komuny] Medale,Zegarki itp."
Zamienię się na stare plakaty filmowe plakaty kinowe plakaty PRL,Śląskie,Katowice,Sport i Hobby,Kolekcje,Zamienię się na (chętnie też odkupię) plakaty filmowe i kinowe z okresu PRL (lata 1948 - 1990)
dwuczesciowa sukienka rozm 40,Mazowieckie,Warszawa,Moda,Ubrania,Sukienka nowa jednak bez metki bo przeszła poprawki krawieckie a i tak nie udalo się jej dopasowac rozmiar okolo 40 dlugosc góry z ramiączkiem to 58cm spódnicy 68 szerokosci kolejno 43 i 42 cm . Zamienie na paczke chusteczek nawilżanych z Tesco loves baby
Nelly Furtado - The Best Of,Wielkopolskie,Poznań,Muzyka i Edukacja,Muzyka,Zbiór hitów kanadyjskiej piosenkarki Nelly Furtado. Kto nie zna Promiscous czy Meneather? Dość wygięta okładka acz stan przyzwoity. Możliwy odbiór własny. Zachęcam do kontaktu!
Adidasy Puma,Kujawsko-pomorskie,Inowrocław,Dla Dzieci,Buciki,"Adidasy chłopięce Puma rozmiar 20, dł. wkładki 13cm. Buty noszone ale nadają się jeszcze do zabawy przed domem."
Meble na życzenie klienta.,Kujawsko-pomorskie,Bydgoszcz,Dom i Ogród,Meble na wymiar,Marzysz o nowym wnętrzu?
!!Elegancka spódniczka w kwiaty!!,Opolskie,Opole,Moda,Ubrania,"zamienię elegancką spódniczkę w kwiaty (wartość 5 zł) Kolor czarno-biały. Spódniczka wiązana z boku na troczek (co daje możliwość regulacji) firmy Merona. Rozmiar 36/38, 100 % Polyester."
"Bluzka Cherokee,r.42/44",Lubuskie,Zielona Góra,Moda,Ubrania,bluzka w efektowny kwiatowy wzórfirmy Cherokee w rozm.42/44 z rekawkami 3/4
Kolorowa bluzeczka we wzorki w stylu indyjskim,Małopolskie,Kraków,Moda,Ubrania,"Witam, wymienię widoczną na zdjęciu bluzeczkę :). Zapraszam również na moje inne ogłoszenia, tam wiele ubrań i rzeczy na wymianę :)."
Tunika tuniczka 48 46 JAK NOWA,Dolnośląskie,Głogów,Moda,Ubrania,Tunika tuniczka 48 46 JAK NOWA
Olej hydrauliczny HLP-46,Świętokrzyskie,Skarżysko-Kamienna,Usługi i Firmy,Wyposażenie firm,Witam posiadam na sprzedaż olej używany ok 6mcy. Olej nadaje się do  smarowania maszyn skrawających tocznych pił tartaczny pil łańcuchowych HDSów i różnego rodzaju układów hydraulicznych o zastosowaniu tegoż typu oleju. Bez zabrudzeń i bez wody w czystych beczkach 200 litrowych lub mniejszych ilościach w plastikowych kanistrach. Olej nie pieni się i pozostaje płynny na mrozie. Dowóz pod adres po uzgodnieniu ceny i ilości w promieniu 50 km.
Płaszcz zimowy,Lubelskie,Lublin,Moda,Ubrania,"Oddam płaszcz za koce, narzuty lub ręczniki (nie muszą być w bardzo dobrym stanie). Płaszcz na metce ma rozmiar L, ale ja noszę M też pasował, bo w zimie nosi się grubsze ubrania. Ma lekkie ślady używania. Jeśli potrzeba będzie więcej zdjęć to dorobię. Najlepiej odbiór osobisty na terenie Lublina."
"Fifa 13,nie FIFA 14, nie FIFA 15",Mazowieckie,Ożarów Mazowiecki,Elektronika,Gry i Konsole,"Na sprzedanie lub zamianę gra na konsolę PS3 Fifa 13. Używana sporadycznie, stan prawie że idealny,żadnych rys, odcisków itp. Gra działała bez zarzutów. Polska wersja językowa."
Agregat pradotwórczy do agregatu tynkarskiego lub pianek,Łódzkie,Łódź,Usługi i Firmy,Budowa i Remont,Do wynajęcia agregat prądotwórczy do zasilania agregatów tynkarskich i agregatów piankowych.
Koszula Topman roz.XS,Wielkopolskie,Luboń,Moda,Ubrania,Koszula Topman
Bluza adidas L,Śląskie,Częstochowa,Moda,Ubrania,"Witam! Posiadam bluzę firmy ADIDAS w roz . L z metki na 164. Rozsuwana na zamek w kolorze jaskrawo żółtym z granatowymi lampasami , rękawy ze ściągaczami . Po bokach są zamki -do poszerzenia bluzki są dwie kieszenie a na plecach jest duże logo adidas. Bluza jest nie zniszczona , zamek sprawny. Wymiary; długość 70 cm szerokość pod pachami 110 cm. Zamienię na coś co wpadnie mi w oko lub sprzedam za 20 zł"
Laktator ręczny avent philips części,Śląskie,Katowice,Dla Dzieci,Pozostałe dla dzieci,"Tyle posiadam, może się komuś przyda. zamienię  na pieluchy 4+ dada z Biedronki lub jakieś ciuszki dla dziewczynki na 86cm. :) lub sprzedam za 15pln. Raczej jest kompletny ale na 100% nie wiem."
Garnki,Pomorskie,Starogard Gdański,Dla Dzieci,Zabawki,Sprzedam garnku dla dziecka do zabawy w kuchnię plus wszystkie dodatki które są na zdjęciu stan dobry
Antena satelitarna 80 + konwenter,Lubuskie,Zielona Góra,Elektronika,Pozostała elektronika,Sprzedam antene satelitarną z całym kompletem+ konwenter...gratis druga antena 60. Antena w stanie idealnym. Zakupiona w listopadzie 2016r.
Puzzle Tomek i przyjaciele,Kujawsko-pomorskie,Bydgoszcz,Dla Dzieci,Zabawki,"Zamienię puzzle , nowe bez folii."
Porcelana stary czajnik inne !,Zachodniopomorskie,Łobez,Dom i Ogród,Akcesoria kuchenne,"Wszystko to co na zdjęciu , proszę pytać o dostępność . Na terenie Łobza dowóz gratis . Pozdrawiam"
Zamiana zamienię stół gra piłkarzyki mat.budowlane blacha żwir itp.,Małopolskie,Zakopane,Usługi i Firmy,Wyposażenie firm,"Witam,"
Zamieni słome za obornik,Wielkopolskie,Ostrów Wielkopolski,Rolnictwo,Produkty rolne,Zamienię słomę za obornik
Malutkie ubranko z sowa dla piesieczka pieska,Śląskie,Katowice,Zwierzęta,Akcesoria dla zwierząt,Zamienie na  proszek do prania koszr to nawet 11zl wiekszy. Lub dwa male. Jakis zwykly nie musi byc firmowe :)
Sklep narciarski - serwis - wypożyczalnia - komis! KATOWICE,Śląskie,Katowice,Sport i Hobby,Sporty zimowe,"Zapraszamy do naszego punktu w Katowicach , ul. Pokoju 17"
Mleko Bebiko 2 powyżej 6.miesiąca życia 2x350g długa data ważności.,Łódzkie,Skierniewice,Dla Dzieci,Pozostałe dla dzieci,Sprzedam Mleko Bebiko 2  powyżej 6. miesiąca życia.
Koszulka sprzedam lub zamienie,Łódzkie,Łódź,Moda,Ubrania,Zamienie  najchetniej na cos dla dziec 128 lub sprzedam za 100zl .Rozważe także inne propozycje.Zapraszam
Lampka usb do kopmutera,Śląskie,Sosnowiec,Elektronika,Akcesoria i części,Zamienię lampkę usb do komputera czy laptopa doświetlającą najlepiej na dużą czekoladę milkę lub ptasie mleczko wedel waniliowe :)
OPONY OPONA do wózka widłowego / widlaka - dostawa 24h,Warmińsko-mazurskie,Elbląg,Usługi i Firmy,Pozostałe usługi,Realizujemy usługę wymiany opon w wózkach widłowych u klienta na terenie całego kraju.
Nosidlo Lascal M1+gratis,Mazowieckie,Piastów,Dla Dzieci,Foteliki - Nosidełka,Sprzedam nosidło Lascal M1. Nosidlo jak nowe. Używane dosłownie 3 razy. Odbiór osobisty Piastów lub Praga Południe. Możliwa wysyłka za dodatkową opłatą.Gratis zabawki dla malucha.
Robocze czapki z daszkiem letnie i zimowe,Łódzkie,Koluszki,Moda,Pozostała moda,"Na sprzedaż lub wymianę 2 szt. czapek z daszkiem roboczych letnich oraz 1 szt. zimowa, ocieplana. Rozmiar 60. Nowe, nieużywane."
Zamienię gupiki,Podlaskie,Suwałki,Zwierzęta,Zwierzęta akwariowe,"Zamienię różnej wielkości około 40 ładnych gupików na zbrojniki, kiryski ,otoski , rośliny, rozważe też inne propozycje,mam też ampularie żółte do wymiany."
New Avengers: Wszystko Umiera. Mega Tanio!!!,Mazowieckie,Warszawa,Muzyka i Edukacja,Komiksy,"Witam,"
Sprzedam BMX lub zamienie,Lubuskie,Sulechów,Sport i Hobby,Rowery,Witam mam na sprzedaż bmx'a marki stereo model wire 2013.
Zestaw dla bobasa,Dolnośląskie,Oleśnica,Dla Dzieci,Meble dla dzieci,Zestaw dla bobasa:)
Tymek - piłka to jego pasja,Mazowieckie,Warszawa,Zwierzęta,Psy bez rodowodu,"Młody, ok 2 letni, zdrowy, bardzo ruchliwy. Sprawdzi się i jako stróż - bardzo czujny i jako przyjaciel typowo domowy. Tymon nie nadaje się do kojca. Musi być blisko człowieka. Może mieszkać na dworze ale musi także swobodnie biegać. Nie toleruje innych samców, z uległą suczką można próbować. Psiak znajduje się w hoteliku pod Ciechanowem."
Dwunastu podróżnych / bajka / klisza / rzutnik / diaskop,Mazowieckie,Piaseczno,Sport i Hobby,Kolekcje,"Wymienię bajkę na kliszy &quot;Dwunastu podróżnych&quot; na inną, której nie posiadam (lista posiadanych przeze mnie tytułów tutaj: https://goo.gl/lMkyVt)."
Bluzka w różowo - białą kratke,Śląskie,Kłobuck,Moda,Ubrania,Bluzka kupiona w MOHITO stan bardzo dobry. Rozmiar S lecz moim zdaniem małe M
Kurtka jesienna sztruksowa,Mazowieckie,Warszawa,Moda,Ubrania,"Z zewnątrz sztruksowa w kolorze kremowym znanej marki BHS. Stan bdb. Rozmiar 46. Kaptur posiada odpinanego &quot;miśka&quot; ten nieobecny na fotce, ale jest w komplecie z kurtką."
Letnia sukienka,Wielkopolskie,Oborniki,Moda,Ubrania,Sprzedam letnią i zwiewną sukienkę.Stan dobry.Zamienię na paczke chusteczek nawilżających Dada z biedronki.Nie wysyłam
sukienka Mohito rozm. M,Pomorskie,Gdańsk,Moda,Ubrania,"Sprzedam rzadko używaną sukienkę Mohito, rozmiar M, brak widocznych śladów użytkowania. Sukienka w kształcie litery A."
fotelik,Pomorskie,Słupsk,Dla Dzieci,Foteliki - Nosidełka,zamienie fotelik 0-13kg stan bardzo dobry za pampersy Dada5 więcej informacji udzielę telefonicznie
Letnie buty,Pomorskie,Gdańsk,Moda,Buty,Wymienię najlepiej na zabawki albo ubrania dla dziewczynki od rozmiaru 90.
Citizen AW1420-04e Eco - Diver 20 bar/45mm,Warmińsko-mazurskie,Ełk,Moda,Zegarki,Jak w temacie sprzedam Citizen AW1420-04e wyposażonego w :
Bluzka,Lubuskie,Słubice,Moda,Ubrania,Sprzedam nowa bluzkę bądź zamienię
czapka z daszkiem bulldog,Łódzkie,Łódź,Dla Dzieci,Ubranka dla dzieci,Witam
